"Zone de référence","Fréquence d'observation","Mesure","Unité de mesure","Activité economique","Classe de taille","Période temporelle","Country ISO3","Value","Statut d'observation","Statut d'observation 2","Statut d'observation 3","Multiplicateur d'unité","Time horizon","Décimales","V7 Breakdowns"
"Autriche","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","AUT","29.945899999999998","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Belgique","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","BEL","34.5428","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Tchéquie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","CZE","17.6049","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Danemark","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","DNK","42.032399999999996","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Estonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","EST","23.4026","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Finlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","FIN","37.8204","Valeur normale","","","Units","","Two","BUS_TOTAL"
"France","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","FRA","18.159200000000002","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Allemagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","DEU","25.968400000000003","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Grèce","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","GRC","8.9269","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Hongrie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","HUN","10.3731","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Irlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","IRL","19.6416","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Italie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","ITA","16.403200000000002","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Lettonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","LVA","12.213899999999999","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Lituanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","LTU","21.3034","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Luxembourg","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","LUX","33.6114","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Norvège","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","NOR","28.8939","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Pologne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","POL","8.362400000000001","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Portugal","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","PRT","11.544599999999999","Valeur normale","","","Units","","Two","BUS_TOTAL"
"République slovaque","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","SVK","17.9952","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Slovénie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","SVN","21.6118","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Espagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","ESP","20.2685","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Suède","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","SWE","35.0402","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Türkiye","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","TUR","7.4125","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Union européenne (27 pays)","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","EU27","19.9479","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Bulgarie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","BGR","8.5463","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Croatie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","HRV","15.1928","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Roumanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2025","ROU","5.2108","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Australie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2020","AUS","3.25","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Colombie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2020","COL","7.184849904","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Israël","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2020","ISR","3.694724719","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Australie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2022","AUS","3.39","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Nouvelle-Zélande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2022","NZL","9.023666707","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Canada","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2023","CAN","8.3","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Canada","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2021","CAN","4.7","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2019","KOR","2.49290448567512","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2020","KOR","2.69048062009295","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2021","KOR","2.65115089143679","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Corée","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2023","KOR","30.28","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Brésil","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2023","BRA","12.93","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Brésil","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","BRA","12.94","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Brésil","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2021","BRA","12.91","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Autriche","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","AUT","20.2705","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Belgique","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","BEL","24.7119","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Tchéquie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","CZE","11.256","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Danemark","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","DNK","27.583800000000004","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Estonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","EST","13.894300000000001","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Finlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","FIN","24.3683","Valeur normale","","","Units","","Two","BUS_TOTAL"
"France","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","FRA","9.908999999999999","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Allemagne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","DEU","19.7528","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Grèce","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","GRC","9.8139","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Hongrie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","HUN","7.4125","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Irlande","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","IRL","14.8955","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Italie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","ITA","8.1958","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Lettonie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","LVA","8.8344","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Lituanie","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","LTU","8.7614","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Luxembourg","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","LUX","23.7276","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Pays-Bas","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","NLD","23.0637","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Norvège","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","NOR","20.7725","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Pologne","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","POL","5.898","Valeur normale","","","Units","","Two","BUS_TOTAL"
"Portugal","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","PRT","8.626399999999999","Valeur normale","","","Units","","Two","BUS_TOTAL"
"République slovaque","Annuelle","Businesses using artificial intelligence (AI)","Pourcentage d'entreprises","Total - ensemble des activités","10 ou plus","2024","SVK","10.783","Valeur normale","","","Units","","Two","BUS_TOTAL"
